IREF_DC,PSRR(Mag),MP,Ganancia(Mag),FGU,DR,CMRR(Mag),SR
2.2e-05,17498.46689,67.78,29922.64637,3454000,1.439,512861.384,1.655
1e-05,1520.54753,69.92,25438.99793,2237000,1.447,327340.6949,1.866
2.2e-05,15135.61248,66.0,27101.91632,5519000,1.451,870963.59,3.976
1e-05,5527.134079,72.94,12488.20445,2403000,1.406,221309.471,1.84
1e-05,32210.68791,73.64,36140.98626,3456000,1.419,912010.8394,1.836
5e-05,65012.96903,57.1,30725.57365,9928000,1.205,305492.1113,1.421
1e-05,32210.68791,73.63,36140.98626,3456000,1.418,977237.221,1.8
1e-05,20300.1852,77.88,3698.281798,3376000,1.357,4120975.191,1.892
5e-05,13899.52631,64.82,13152.24832,8910000,1.408,467735.1413,7.432
1e-05,93110.78755,77.36,12545.84738,3396000,1.365,1412537.545,1.875
1e-05,610.9420249,78.0,3144.12642,2631000,1.305,63752.9081,1.827
5e-05,6331.403617,63.51,42756.28862,7782000,1.288,260015.9563,1.239
1e-05,27510.59605,68.54,31915.37855,3100000,1.518,716143.4102,1.967
5e-05,54387.61317,64.77,26031.54831,7496000,1.298,543250.3315,1.259
5e-05,61659.50019,64.61,24266.10095,9885000,1.403,623734.8355,7.079
2.2e-05,110917.4815,65.47,34514.37393,4647000,1.459,426579.5188,1.471
2.2e-05,21159.23685,67.03,17538.80502,6061000,1.427,912010.8394,4.061
1e-05,32809.52931,71.67,33227.67852,2421000,1.464,426579.5188,1.841
1e-05,713.6742051,76.52,2187.761624,3324000,1.172,194984.46,1.805
2.2e-05,92576.33851,67.98,30130.06024,5540000,1.424,389045.145,3.866
1e-05,733.6687144,78.77,13076.75539,1249000,1.295,298538.2619,1.785
2.2e-05,18599.44563,65.75,24043.628,5813000,1.389,1621810.097,1.486
2.2e-05,5339.492736,66.24,31081.35903,5409000,1.456,524807.4602,3.749
1e-05,801.6780634,75.32,4300.312336,3281000,1.337,164058.9773,1.738
1e-05,52299.79662,74.66,24154.60834,2500000,1.4,1047128.548,1.802
5e-05,28411.88185,63.19,14011.99585,10570000,1.371,1798870.915,7.281
1e-05,11271.97456,71.47,15995.58029,3301000,1.456,1244514.612,1.928
1e-05,3823.842537,62.32,50815.94426,2278000,1.437,484172.3676,0.319
1e-05,27542.28703,76.24,12971.79271,3257000,1.307,1757923.614,1.734
5e-05,5116.818355,68.48,40691.15338,6904000,1.292,82413.8115,1.433
1e-05,922.5714272,82.02,4385.306978,2691000,1.21,2089296.131,1.79
1e-05,45656.22502,70.43,20183.66364,2932000,1.448,537031.7964,1.836
1e-05,1011579.454,84.78,7261.059574,1309000,1.257,45185594.44,1.794
1e-05,62445.33503,65.14,28444.61107,931500,1.134,785235.6346,0.1718
1e-05,11748.97555,82.58,8308.067187,1294000,1.253,758577.575,1.822
1e-05,7319.813232,79.76,9605.058184,1309000,1.315,1348962.883,1.926
1e-05,112201.8454,71.53,31332.85724,2374000,1.453,402717.0343,1.794
1e-05,4825.029801,72.62,12050.3594,2462000,1.413,724435.9601,1.955
5e-05,28773.98415,70.24,30549.21113,5117000,1.3,543250.3315,1.371
1e-05,358921.9346,68.0,36433.42501,2983000,1.493,506990.7083,1.761
1e-05,9375.620069,79.06,5623.413252,2636000,1.256,149623.5656,1.755
1e-05,2285.598803,68.37,41162.33473,2200000,1.41,67297.66563,0.4538
1e-05,166.7247213,83.66,607.4352629,1316000,1.194,13152.24832,1.848
1e-05,34914.03155,73.23,15434.76423,3273000,1.337,933254.3008,1.694
1e-05,2118.361135,75.92,8100.279417,2585000,1.336,1059253.725,1.818
1e-05,53027.35926,71.07,29376.49652,3181000,1.469,2018366.364,1.722
1e-05,13489.62883,63.97,52059.50088,2977000,1.451,350751.874,0.3804
1e-05,439.5416154,79.28,1661.498678,1272000,1.305,51880.00389,1.893
5e-05,15328.51206,56.72,50933.08711,8674000,1.224,257039.5783,1.216
2.2e-05,3100.987389,65.53,8830.799004,5976000,1.423,812830.5162,4.125
2.2e-05,3357.376142,71.36,10303.8612,4443000,1.354,501187.2336,4.145
5e-05,28086.65373,54.09,32583.6701,8371000,1.23,2454708.916,1.233
1e-05,916.2204901,72.14,3380.648362,2399000,1.398,358921.9346,1.891
2.2e-05,37411.05883,67.02,18259.96749,5877000,1.428,291742.7014,3.768
5e-05,9088.662991,53.73,53579.66575,8605000,1.24,562341.3252,0.9805
1e-05,5058.24662,79.6,6854.882265,1280000,1.298,389045.145,1.873
1e-05,6449.113199,68.82,41831.16887,2853000,1.498,575439.9373,1.736
2.2e-05,668343.9176,67.41,30373.86092,3378000,1.432,402717.0343,1.566
1e-05,2694.635332,66.36,44411.96614,2841000,1.434,208929.6131,0.4198
1e-05,3859.224116,71.74,31296.80472,3037000,1.444,616595.0019,1.763
5e-05,35034.82883,65.5,44207.91169,7472000,1.34,316227.766,0.9977
1e-05,4661.22428,79.01,6280.583588,2638000,1.291,543250.3315,1.824
1e-05,28086.65373,76.21,30026.17421,3461000,1.365,298538.2619,1.645
