IREF_DC,Ganancia Magnitud,CMRR Magnitud,PSRR Magnitud,UGF,PM,Slew_Rate,DRout
1.50E-05,21232.44462,98855.30947,26061.5355,3049000,72.56,2.39,1.548
2.00E-05,2719.568486,2480.275938,2941.033694,3691000,69.23,2.75,1.433
2.50E-05,1575.796023,478.0793661,1733.803998,4024000,72.01,3.14,1.44
1.00E-05,288.4031503,9130.614353,3940.034276,2253000,69.6,1.68,1.711
2.00E-05,4937.419182,5539.875439,5006.105525,3761000,70.47,2.54,1.461
1.50E-05,14354.89433,98401.11058,34633.78846,2017000,70.3,2.58,1.618
2.50E-05,22750.97431,1230268.771,21086.2815,4581000,70.74,4.18,1.58
2.00E-05,331.1311215,25674.38208,463.98079,3864000,71.64,3.26,1.681
2.00E-05,2676.085593,3439.537114,2763.757919,2609000,69.46,2.37,1.546
1.00E-05,6729.766563,2446.245276,6187.283276,2579000,68.31,1.36,1.387
1.50E-05,359.3353968,104.2317429,403.1809464,1897000,69.39,1.40,1.434
2.50E-05,681.5535747,36099.40136,3589.219346,4426000,73.01,4.17,1.669
1.00E-05,288.071305,82.79421637,273.2121444,1385000,69.42,0.91,1.373
1.00E-05,19769.6964,102329.2992,30130.06024,1763000,70.54,1.75,1.632
1.50E-05,295.1209227,11534.53258,699.0367368,2441000,69.71,2.59,1.684
1.00E-05,279.898132,8659.643234,5604.024174,2157000,69.98,1.70,1.716
1.00E-05,138.6755829,53.57966575,139.3156803,995800,71.76,0.81,1.345
1.50E-05,229.350663,125.025903,246.0367604,1738000,69.15,1.40,1.389
1.50E-05,315.5004623,13947.61658,738.754263,3124000,70.56,2.45,1.694
2.00E-05,296.8246743,19543.39456,413.9996748,2689000,69.86,3.35,1.666
1.50E-05,12189.89599,19565.90768,12779.0921,2476000,69.25,1.86,1.555
1.50E-05,18259.96749,47315.1259,4441.196614,3614000,67.98,2.49,1.493
1.00E-05,23741.05423,165958.6907,28543.02514,2265000,69.86,1.72,1.579
1.00E-05,4330.120677,985.1446428,4847.301126,2209000,68.98,1.21,1.422
1.50E-05,17298.16359,251188.6432,20440.89936,2541000,69.61,2.68,1.593
1.00E-05,408.7897521,16106.45635,2223.309891,1946000,70.14,1.80,1.695
2.00E-05,2679.168325,1216.186001,2564.484037,2515000,70.39,2.29,1.568
1.00E-05,24888.57318,175792.3614,35563.13186,2219000,70.39,1.68,1.608
2.50E-05,14979.59253,216271.8524,13819.74406,3137000,71.05,4.14,1.604
1.50E-05,11939.88104,10777.05254,13551.89412,1991000,70.19,2.09,1.589
2.50E-05,22855.98803,1659586.907,22646.44308,4766000,71.29,4.00,1.576
1.50E-05,295.8012467,8933.054837,13474.10725,2242000,71.18,2.52,1.695
2.00E-05,15205.4753,1972422.736,16405.89773,3060000,69.1,3.40,1.598
2.50E-05,23795.78301,412097.5191,26546.05562,4417000,72.66,3.97,1.603
2.50E-05,311.1716337,12331.04833,895.3647655,3017000,70.93,4.00,1.672
1.50E-05,490.3430228,19724.22736,13121.99899,2529000,71.19,2.69,1.694
2.50E-05,306.9021988,9942.60074,2828.134111,2706000,70.47,3.93,1.663
1.00E-05,263.6331386,7071.312007,3626.602862,1613000,69.76,1.74,1.68
2.00E-05,12430.82636,3296.097122,217.0201204,3194000,69.44,3.05,1.488
1.50E-05,2205.464136,916.2204901,2290.867653,3023000,69.26,1.95,1.4
1.00E-05,7780.36551,42510.87068,1209.205183,1974000,70.84,1.66,1.559
1.00E-05,2368.645132,818.4647881,1504.873519,2151000,69.21,1.20,1.453
1.00E-05,421.6965034,17458.22153,13016.67316,2248000,70.19,1.81,1.697
2.00E-05,289.4009817,131.6739913,318.0533688,2170000,68.68,2.20,1.446
1.00E-05,494.310687,21379.6209,11762.50985,2364000,69.56,1.81,1.679
